source_key,title,subtitle,authors,author_count,isbn,publication_year,publisher,genres,duplicate_like_count,review_group,decision,reason
/books/OL35328026M,Séptimo viaje al reino de la fantasía,,Elisabetta Dami | David Nel·lo,2,9789085922025,2014,De Wakkere Muis,Fantasy | Fiction,0,DOMINANT_AUTHORS,REPLACE,"Notice à remplacer : langue étrangère, doublon non retenu, série institutionnelle inadéquate ou qualité bibliographique insuffisante pour le socle NL."
/books/OL35639350M,De indiaan met het gouden hart,,Elisabetta Dami | David Nel·lo | Manel Martí i Viudes,3,9789085921080,2010,De Wakkere Muis,Fiction,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL42854956M,Eclips,,Erin Hunter,1,9789059246010,2018,Fantoom,Fantasy | Fiction,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL42854953M,Spoor van de maan,,Erin Hunter,1,9789059245983,2018,Fantoom,Fantasy | Fiction,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL42322636M,Tijgerklauws woede,,Erin Hunter,1,9789059246232,2019,Fantoom,Fantasy | Fiction,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL24636613M,1984,,George Orwell,1,9789029532815,1984,De Arbeiderspers,Fantasy | Fiction | Politique | Science-fiction | Théâtre,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL14561837M,De domineesdochter,,George Orwell,1,,1972,Meulenhoff,Fiction,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL18430168M,Dierenboerderij,een sprookje voor volwassenen.,George Orwell,1,9789041330369,1997,Singel Pockets,Fiction | Politique,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL14562218M,Happend naar lucht,,George Orwell,1,9789029004916,1971,Meulenhoff,Fiction,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL35332797M,Brief aan mijn rechter,,Georges Simenon,1,9789085426110,2015,De Bezige Bij,Fiction | Policier et mystère,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL16415981M,De dood van Auguste,,Georges Simenon,1,,1966,A.W.Bruna & Zoon,,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL35338989M,De dood van Belle,,Georges Simenon,1,9789085426431,2015,De Bezige Bij,Policier et mystère,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL35338746M,De gele hond,,Georges Simenon,1,9789085426370,2015,De Bezige Bij,Fiction | Policier et mystère,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL37786518M,De horlogemaker van Everton,,Georges Simenon,1,9789025417840,2003,Pandora,,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL32419180M,De klasgenoot van Maigret,,Georges Simenon,1,9789044912449,1988,Bruna,Fiction | Policier et mystère,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL25629880M,De rijkaard,,Georges Simenon,1,9789022977699,1987,AWB,Policier et mystère,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL32987090M,De vergissing van Maigret,,Georges Simenon,1,9789025417680,2004,Pandora,Fiction | Policier et mystère,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL37788322M,De verloofdes van meneer Hire,,Georges Simenon,1,9789025421960,2004,Pandora,Fiction | Policier et mystère,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
