row_index,language,author,title,work_key,edition_key,cover_id,cover_local_path,cover_image_url,resolved_path,cover_state,sha256,size_bytes,source_file
49,NL,Connie Palmen,De erfenis,/works/OL748332W,/books/OL90696M,6460737,data/cache/nl-mass-editorial-engine/covers/NL-OL90696M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL90696M.jpeg,LOCAL_FILE_OK,cf2c17b32873163d68fd48a40e1ceeb7e3459facae1c929e0a263f28696f2cbb,25566,data/audit/nl-fast-v2-selected-pagecount.csv
50,NL,Connie Palmen,De vriendschap,/works/OL27963746W,/books/OL38222872M,12770394,data/cache/nl-mass-editorial-engine/covers/NL-OL38222872M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL38222872M.jpeg,LOCAL_FILE_OK,a8396e71505fedee10a2bbfe80a4e82f84321529b999a4b4a05516be1d2fad81,10430,data/audit/nl-fast-v2-selected-pagecount.csv
51,NL,Connie Palmen,De wetten,/works/OL748333W,/books/OL12807904M,8059152,data/cache/nl-mass-editorial-engine/covers/NL-OL12807904M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL12807904M.jpeg,LOCAL_FILE_OK,58a09ac45275380ca8db4a4bf3f3a9780c192a46e0c74c0c71e045ea4c85606d,19872,data/audit/nl-fast-v2-selected-pagecount.csv
52,NL,Connie Palmen,Een kleine filosofie van de moord,/works/OL748325W,/books/OL16296641M,13071508,data/cache/nl-mass-editorial-engine/covers/NL-OL16296641M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL16296641M.jpeg,LOCAL_FILE_OK,d43f4184c23a63991b5ecebb70a55229711344967c10c83cae597a3aa1aeb7e9,29163,data/audit/nl-fast-v2-selected-pagecount.csv
53,NL,Connie Palmen,Geheel de uwe,/works/OL748326W,/books/OL3753397M,7272976,data/cache/nl-mass-editorial-engine/covers/NL-OL3753397M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL3753397M.jpeg,LOCAL_FILE_OK,c2d75477854cc56ccbedf965a7874177b34de6c99354c751e1fb88795a583f5d,45925,data/audit/nl-fast-v2-selected-pagecount.csv
54,NL,Connie Palmen,I. M,/works/OL748328W,/books/OL431178M,13479974,data/cache/nl-mass-editorial-engine/covers/NL-OL431178M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL431178M.jpeg,LOCAL_FILE_OK,760ee05d56098f0b3c0db683f288af303daffefcb4d624328c24f036b76025b8,47317,data/audit/nl-fast-v2-selected-pagecount.csv
55,NL,Connie Palmen,Lucifer,/works/OL24423907W,/books/OL32350436M,10981027,data/cache/nl-mass-editorial-engine/covers/NL-OL32350436M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL32350436M.jpeg,LOCAL_FILE_OK,3ffe6dd9d837b4956c64d648908f90d963ef4815a4a757682bd39b8681cfccfa,39755,data/audit/nl-fast-v2-selected-pagecount.csv
56,NL,David Van Reybrouck,Nu het nog kan,/works/OL24894470W,/books/OL33090361M,11793273,data/cache/nl-mass-editorial-engine/covers/NL-OL33090361M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL33090361M.jpeg,LOCAL_FILE_OK,8db91756bbc8aff192446efca0bb77efadea2236e36ad8c752d4dd3a1d078e06,39904,data/audit/nl-fast-v2-selected-pagecount.csv
57,NL,David Van Reybrouck,Revolusi,/works/OL24234444W,/books/OL32046626M,10712263,data/cache/nl-mass-editorial-engine/covers/NL-OL32046626M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL32046626M.jpeg,LOCAL_FILE_OK,373527de3f7eac43ef1ff72917dd300a3e68e1d62d6b8b338a799f58e2fb77df,38208,data/audit/nl-fast-v2-selected-pagecount.csv
58,NL,Dimitri Verhulst,De helaasheid der dingen,/works/OL15114233W,/books/OL30148625M,10442514,data/cache/nl-mass-editorial-engine/covers/NL-OL30148625M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL30148625M.jpeg,LOCAL_FILE_OK,8b042a3f7c82ebfb176b9db27abd003d1e7249e79d40cb9489764011ef7fa9d6,44838,data/audit/nl-fast-v2-selected-pagecount.csv
59,NL,Dimitri Verhulst,De kamer hiernaast,/works/OL866304W,/books/OL112808M,9537430,data/cache/nl-mass-editorial-engine/covers/NL-OL112808M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL112808M.jpeg,LOCAL_FILE_OK,2f80ae5a2131f6db964d72b0932ff9e03ec3976c35ac08512036798653ac7067,25561,data/audit/nl-fast-v2-selected-pagecount.csv
60,NL,Dimitri Verhulst,De laatste liefde van mijn moeder,/works/OL16046312W,/books/OL24947036M,6878732,data/cache/nl-mass-editorial-engine/covers/NL-OL24947036M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL24947036M.jpeg,LOCAL_FILE_OK,1099f2d1ac4d4c9d407839adf38e49d0dd00ea8d6995ca0f6661411d17e00b34,21185,data/audit/nl-fast-v2-selected-pagecount.csv
61,NL,Dimitri Verhulst,De zomer hou je ook niet tegen,/works/OL17092804W,/books/OL25663008M,7334694,data/cache/nl-mass-editorial-engine/covers/NL-OL25663008M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL25663008M.jpeg,LOCAL_FILE_OK,840fa0ba5011d357917b9b43929f8b8511e6c793b568a6d454ee86108feb28ae,45157,data/audit/nl-fast-v2-selected-pagecount.csv
62,NL,Dimitri Verhulst,Godverdomse dagen op een godverdomse bol,/works/OL866305W,/books/OL23176858M,6666232,data/cache/nl-mass-editorial-engine/covers/NL-OL23176858M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL23176858M.jpeg,LOCAL_FILE_OK,fb1a002cadfcc4b28451b9fc62596cabaf98e493ccf38a6e88348d640be3f181,19472,data/audit/nl-fast-v2-selected-pagecount.csv
