language,source_stage,target_index,category,target_author,target_work,work_key,edition_key,edition_title,edition_languages,isbn,publisher,publish_date,page_count,cover_id,cover_state,cover_local_path,page_count_state,page_count_source
DE,INITIAL,78,CONTEMPORARY,Saša Stanišić,Herkunft,/works/OL26233063W,/books/OL35390159M,Herkunft,ger,9783844533026,der Hörverlag,"Mar 18, 2019",,12232730,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-078-OL35390159M.jpeg,NO_PAGE_COUNT,
DE,INITIAL,79,CONTEMPORARY,Robert Seethaler,Ein ganzes Leben,/works/OL20678248W,/books/OL27475074M,Ein ganzes Leben,ger,9783446246454,Hanser Berlin,"Sep 30, 2015",,8933199,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-079-OL27475074M.jpeg,NO_PAGE_COUNT,
DE,INITIAL,80,CONTEMPORARY,Wolfgang Herrndorf,Tschick,/works/OL16621819W,/books/OL25302940M,Tschick,ger,9783871347108,Rowohlt,2010,260,8418261,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-080-OL25302940M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,81,PHILOSOPHY_ESSAYS,Immanuel Kant,Kritik der reinen Vernunft,/works/OL99844W,/books/OL14017114M,Kritik der reinen Vernunft,ger,,Mayer & Müller,1889,723,5784520,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-081-OL14017114M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,82,PHILOSOPHY_ESSAYS,Immanuel Kant,Grundlegung zur Metaphysik der Sitten,/works/OL99719W,/books/OL23306057M,Immanuel Kant's Grundlegung zur metaphysik der sitten,ger,,L. Heimann,1870,351,6516648,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-082-OL23306057M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,83,PHILOSOPHY_ESSAYS,Georg Wilhelm Friedrich Hegel,Phänomenologie des Geistes,/works/OL678515W,/books/OL33200102M,Phänomenologie des Geistes,ger,,F. Meiner,1907,532,11909106,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-083-OL33200102M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,84,PHILOSOPHY_ESSAYS,Arthur Schopenhauer,Die Welt als Wille und Vorstellung,/works/OL1183478W,/books/OL9015137M,Die Welt als Wille und Vorstellung 1/2,ger,9783895082658,Konemann,February 1998,,1035945,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-084-OL9015137M.jpeg,NO_PAGE_COUNT,
DE,INITIAL,85,PHILOSOPHY_ESSAYS,Friedrich Nietzsche,Also sprach Zarathustra,/works/OL98130W,/books/OL7125075M,Thus spoke Zarathustra,eng | ger,,Modern Library,1917,368,5639596,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-085-OL7125075M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,86,PHILOSOPHY_ESSAYS,Friedrich Nietzsche,Jenseits von Gut und Böse,/works/OL28774947W,/books/OL39492566M,Jenseits von Gut und Böse,ger,9783866470460,Anaconda,2006,384,12902647,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-086-OL39492566M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,87,PHILOSOPHY_ESSAYS,Friedrich Nietzsche,Zur Genealogie der Moral,/works/OL15326017W,/books/OL9849138M,Jenseits von Gut und Böse / Zur Genealogie der Moral,ger,9783520076113,Kröner,1991,452,13129860,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-087-OL9849138M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,88,PHILOSOPHY_ESSAYS,Martin Heidegger,Sein und Zeit,/works/OL77609W,/books/OL14887435M,Being and time,eng | ger,0060638508,Harper and Row,1962,589,8622466,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-088-OL14887435M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
