sha256,group_type,owner_count,source_type,source_identity,language,title,authors,edition_key,source_path,canonical_cover_file
7413dc16b4ba471a20fd9ad5f8add0504453f1741644478f96b86a76c5d35880,WITHIN_KEEP,2,KEEP,/books/OL28935327M,FR,Monsignor Quichotte,Graham Greene,,data/covers/full/ol-cover-4220427.jpg,data/covers/final/cover-7413dc16b4ba471a20fd9ad5f8add0504453f1741644478f96b86a76c5d35880.jpg
fadfede901ff04716d45da94650d34593ad8e8a5bce9796a12aba49936cc48e3,WITHIN_KEEP,2,KEEP,/books/OL21376719M,NL,Stamboel expres,Graham Greene,,data/covers/full/ol-cover-5329124.jpg,data/covers/final/cover-fadfede901ff04716d45da94650d34593ad8e8a5bce9796a12aba49936cc48e3.jpg
fadfede901ff04716d45da94650d34593ad8e8a5bce9796a12aba49936cc48e3,WITHIN_KEEP,2,KEEP,/books/OL20332707M,FR,Orient-express,Graham Greene,,data/covers/full/ol-cover-5329124.jpg,data/covers/final/cover-fadfede901ff04716d45da94650d34593ad8e8a5bce9796a12aba49936cc48e3.jpg
d7b21c12661bb36fe684ae26e5c9679365e48cfceba0b741c280a79dff4fe2fb,WITHIN_KEEP,2,KEEP,/books/OL32361177M,NL,Kolkende kloof,Gregory Benford,,data/covers/full/ol-cover-3872981.jpg,data/covers/final/cover-d7b21c12661bb36fe684ae26e5c9679365e48cfceba0b741c280a79dff4fe2fb.jpg
d7b21c12661bb36fe684ae26e5c9679365e48cfceba0b741c280a79dff4fe2fb,WITHIN_KEEP,2,KEEP,/books/OL8887906M,FR,Les Profondeurs furieuses,Gregory Benford,,data/covers/full/ol-cover-3872981.jpg,data/covers/final/cover-d7b21c12661bb36fe684ae26e5c9679365e48cfceba0b741c280a79dff4fe2fb.jpg
e8c257e8ed99fba85fdcc5d24b2771e39f4418b0ad5b50615682bea4d8c1ccc6,WITHIN_KEEP,2,KEEP,/books/OL13490057M,NL,De slavernij.,Harriet Stowe | Harriet Beecher Stowe,,data/covers/full/ol-cover-6005610.jpg,data/covers/final/cover-e8c257e8ed99fba85fdcc5d24b2771e39f4418b0ad5b50615682bea4d8c1ccc6.jpg
e8c257e8ed99fba85fdcc5d24b2771e39f4418b0ad5b50615682bea4d8c1ccc6,WITHIN_KEEP,2,KEEP,/books/OL25400903M,FR,La clef de la case l'Oncle Tom,Harriet Stowe | Harriet Beecher Stowe,,data/covers/full/ol-cover-6005610.jpg,data/covers/final/cover-e8c257e8ed99fba85fdcc5d24b2771e39f4418b0ad5b50615682bea4d8c1ccc6.jpg
5fad7c0604fa7dc88344bb4607ff6779314aa4bbb3449181424f139bfde74b9f,WITHIN_KEEP,2,KEEP,/books/OL45912730M,NL,De vierde seconde / druk 1,James Patterson | Maxine Paetro,,data/covers/full/ol-cover-2786155.jpg,data/covers/final/cover-5fad7c0604fa7dc88344bb4607ff6779314aa4bbb3449181424f139bfde74b9f.jpg
5fad7c0604fa7dc88344bb4607ff6779314aa4bbb3449181424f139bfde74b9f,WITHIN_KEEP,2,KEEP,/books/OL37833369M,FR,4 Fers Au Feu,James Patterson | Maxine Paetro,,data/covers/full/ol-cover-2786155.jpg,data/covers/final/cover-5fad7c0604fa7dc88344bb4607ff6779314aa4bbb3449181424f139bfde74b9f.jpg
e183762acdf76ed9b3928b9fbb485192d103577bba7ba13e24315e0de6f22da3,WITHIN_KEEP,2,KEEP,/books/OL49376080M,NL,Niet te doen! (Het leven van een Loser) (Dutch Edition),Jeff Kinney,,data/covers/full/ol-cover-7396124.jpg,data/covers/final/cover-e183762acdf76ed9b3928b9fbb485192d103577bba7ba13e24315e0de6f22da3.jpg
e183762acdf76ed9b3928b9fbb485192d103577bba7ba13e24315e0de6f22da3,WITHIN_KEEP,2,KEEP,/books/OL39209645M,FR,Journal d'un dégonflé - Tome 5 - La Vérité toute moche,Jeff Kinney,,data/covers/full/ol-cover-7396124.jpg,data/covers/final/cover-e183762acdf76ed9b3928b9fbb485192d103577bba7ba13e24315e0de6f22da3.jpg
4265946d53dc702a06592f1e250f7c4c568eba512735289f1bfa443a4fa38572,CROSS_KEEP_ACQUISITION,2,KEEP,/books/OL23294278M,NL,vidsaka in het Indisch tooneel.,Johan Huizinga,,data/covers/full/ol-cover-5758108.jpg,data/covers/final/cover-4265946d53dc702a06592f1e250f7c4c568eba512735289f1bfa443a4fa38572.jpg
4265946d53dc702a06592f1e250f7c4c568eba512735289f1bfa443a4fa38572,CROSS_KEEP_ACQUISITION,2,ACQUISITION,/books/OL23294278M,NL,De vidūsaka in het Indisch tooneel,Johan Huizinga,/books/OL23294278M,data/cache/nl-mass-editorial-engine/covers/NL-OL23294278M.jpeg,data/covers/final/cover-4265946d53dc702a06592f1e250f7c4c568eba512735289f1bfa443a4fa38572.jpg
5f8862fe51f2d0a799fc1d112203bf58dddb2e27d3a84d8c1516f42f253ae6b0,WITHIN_KEEP,2,KEEP,/books/OL38230705M,NL,Paper towns,John Green,,data/covers/full/ol-cover-5731773.jpg,data/covers/final/cover-5f8862fe51f2d0a799fc1d112203bf58dddb2e27d3a84d8c1516f42f253ae6b0.jpg
5f8862fe51f2d0a799fc1d112203bf58dddb2e27d3a84d8c1516f42f253ae6b0,WITHIN_KEEP,2,KEEP,/books/OL32113915M,FR,La face cachée de Margo,John Green,,data/covers/full/ol-cover-5731773.jpg,data/covers/final/cover-5f8862fe51f2d0a799fc1d112203bf58dddb2e27d3a84d8c1516f42f253ae6b0.jpg
84c26599f54aaf7cf13b96e5b581a76e01c408c6d169493c2b7702a112dd3106,WITHIN_KEEP,2,KEEP,/books/OL47217005M,NL,Huiver,Maggie Stiefvater,,data/covers/full/ol-cover-6290636.jpg,data/covers/final/cover-84c26599f54aaf7cf13b96e5b581a76e01c408c6d169493c2b7702a112dd3106.jpg
84c26599f54aaf7cf13b96e5b581a76e01c408c6d169493c2b7702a112dd3106,WITHIN_KEEP,2,KEEP,/books/OL47408046M,FR,Frisson,Maggie Stiefvater,,data/covers/full/ol-cover-6290636.jpg,data/covers/final/cover-84c26599f54aaf7cf13b96e5b581a76e01c408c6d169493c2b7702a112dd3106.jpg
eacf2032c3f39e9afebeda437ab9e3c6ec5bfe55847e1e46603c7f623089aa7c,WITHIN_KEEP,2,KEEP,/books/OL25651510M,NL,Verlaten,Michael Grant | Michael Grant,,data/covers/full/ol-cover-6837023.jpg,data/covers/final/cover-eacf2032c3f39e9afebeda437ab9e3c6ec5bfe55847e1e46603c7f623089aa7c.jpg
eacf2032c3f39e9afebeda437ab9e3c6ec5bfe55847e1e46603c7f623089aa7c,WITHIN_KEEP,2,KEEP,/books/OL32361858M,FR,Gone,Michael Grant | Michael Grant,,data/covers/full/ol-cover-6837023.jpg,data/covers/final/cover-eacf2032c3f39e9afebeda437ab9e3c6ec5bfe55847e1e46603c7f623089aa7c.jpg
adbf0686bb8b3d8782ad458e9ac29edab7b6bfbaf81e440e6553e45655bff4f6,WITHIN_KEEP,2,KEEP,/books/OL23395196M,NL,Beteekenis en oorsprong van het Russische communisme,Nikolaĭ Berdi͡aev,,data/covers/full/ol-cover-9998014.jpg,data/covers/final/cover-adbf0686bb8b3d8782ad458e9ac29edab7b6bfbaf81e440e6553e45655bff4f6.jpg
adbf0686bb8b3d8782ad458e9ac29edab7b6bfbaf81e440e6553e45655bff4f6,WITHIN_KEEP,2,KEEP,/books/OL14636899M,EN,The origin of Russian communism,Nikolaĭ Berdi͡aev,,data/covers/full/ol-cover-9998014.jpg,data/covers/final/cover-adbf0686bb8b3d8782ad458e9ac29edab7b6bfbaf81e440e6553e45655bff4f6.jpg
dce2a4b3afbcf142b3e5abfbc5375a383fe32356151959c44569f80ac9e335e5,WITHIN_KEEP,2,KEEP,/books/OL37736738M,NL,Het rollenspel,Peter Abrahams,,data/covers/full/ol-cover-8345310.jpg,data/covers/final/cover-dce2a4b3afbcf142b3e5abfbc5375a383fe32356151959c44569f80ac9e335e5.jpg
dce2a4b3afbcf142b3e5abfbc5375a383fe32356151959c44569f80ac9e335e5,WITHIN_KEEP,2,KEEP,/books/OL45095M,EN,Crying wolf,Peter Abrahams,,data/covers/full/ol-cover-8345310.jpg,data/covers/final/cover-dce2a4b3afbcf142b3e5abfbc5375a383fe32356151959c44569f80ac9e335e5.jpg
cb3b99b9069ecbc07062165e28e706c7410ca0b4eb0dc6e5d6f961275f3aabad,WITHIN_KEEP,2,KEEP,/books/OL25199004M,NL,De vrouw en de ledenpop,Pierre Louÿs,,data/covers/full/ol-cover-14465920.jpg,data/covers/final/cover-cb3b99b9069ecbc07062165e28e706c7410ca0b4eb0dc6e5d6f961275f3aabad.jpg
cb3b99b9069ecbc07062165e28e706c7410ca0b4eb0dc6e5d6f961275f3aabad,WITHIN_KEEP,2,KEEP,/books/OL23308824M,FR,La femme et le pantin,Pierre Louÿs,,data/covers/full/ol-cover-14465920.jpg,data/covers/final/cover-cb3b99b9069ecbc07062165e28e706c7410ca0b4eb0dc6e5d6f961275f3aabad.jpg
