source_key,work_key,cover_id,cover_file,title,subtitle,language,isbn,publication_year,publisher,page_count,summary,cover_image_url,cover_width,cover_height,cover_bytes
/books/OL7572596M,/works/OL1000245W,8263371,ol-cover-8263371.jpg,A Country Miss,,EN,9780451157768,1988,Signet,,"Charity Lonsbury was a poor country girl when she fell in love with the rich and sophisticated Marquess of Kenrick. With the help of her unconventional aunt, a rabbit named Roscoe and a hothouse of orchids could Charity manage to transform herself into the toast of the town-and win Lord Kenrick's heart? Regency Romance by Emily Hendrickson; originally published by Signet. CAMPAIGN OF CONQUEST. Miss Charity Lonsbury's love for the handsome Marquess of Kenrick seemed utter folly. Charity was poor as a church mouse, Kenrick was rich as Croesus. Charity was unschooled in the ways of the world, Kenrick moved in the most sophisticated circles. Charity dressed in a dismally dowdy manner, while Kenrick was being stalked by the fashionable and stunning Lady Sylvia. To capture Kenrick, Charity had to transform herself from a shy country Miss to the toast of the town and she had but one swift week to do it. It was quite impossible, of course--yet when Cupid's arrow provides the spur, and an unconventional aunt provides the means, impossible dreams can sometimes come true....",,291,473,63524
/books/OL3281934M,/works/OL1000246W,292508,ol-cover-292508.jpg,The Dangerous Baron Leigh,,EN,9780451199294,2000,Signet,,"Lady Jocelyn Robards had lived secluded since her fiance's death, but when she traveled to her cousin's castle she was rescued from danger by Lord Leigh, the man she once loved but whose marriage proposal she had refused. Now they must undertake a daring mission to recover a stolen heirloom-and their previous passion reawakens... Regency Romance by Emily Hendrickson; originally published by Signet",,299,475,31383
/books/OL32345339M,/works/OL1000247W,8172704,ol-cover-8172704.jpg,The Dashing Miss Fairchild,,EN,9781444800630,2010,Charnwood,,"While traveling to Bath, Miss Clare Fairchild discovered a baby in her carriage, and determined to take the child with her. Her arrival with a baby caused disagreeable Bath gossip, but the intriguing Mr. Richard Talbot assisted Clare in their confusing-and often dangerous-search for the truth. Regency Romance by Emily Hendrickson; originally published by Signet",,301,500,29243
/books/OL24923844M,/works/OL1000248W,11419705,ol-cover-11419705.jpg,The Debonair Duke,,EN,9780709082897,2009,Robert Hale,,"Lady Pamela Taylor's dull existence is shattered when a necklace of stunning sapphires is delivered to her. Who sent the fabulous gems and why? Lady Pamela wonders what is required from her in return. With her only clue the initials J.R, she turns to the wealthy, handsome and dashing Duke of Wexford, whose reputation for solving mysteries is impressive. A romantic Russian prince, a seductive French comte and an intriguing English lord, all with the same initials, suddenly form a flattering court, surrounding her with attention. Could one of these have sent the mysterious gems? As Pamela and the duke plunge into their dangerous hunt, she discovers her heart longs for him ... but does Wexford care for her?",,315,500,40938
/books/OL32988725M,/works/OL1000249W,8262476,ol-cover-8262476.jpg,Double Deceit,,EN,9780709082170,2007,Robert Hale,,"Caroline Beauchamp has accepted a very tricky task. She must seduce Lord Hugh Stanhope, the handsome husband of her dearest friend, Mary, in order to break the hold that an infamous beauty had on the vulnerable viscount. But she also faces an even greater challenge: she must bedazzle the most renowned rake in the realm, Lord Rutledge, to keep him from making Mary his latest conquest. As she begins her juggling act of deception, Caroline knows that that letting down her guard would mean disaster. But falling in love would be even worse.",,286,475,69830
/books/OL3385748M,/works/OL1000251W,293191,ol-cover-293191.jpg,Drusilla's Downfall,,EN,9780451209238,2003,New American Library,,"Drusilla Herbert, a rector's daughter, is sent to assist the ailing Marchioness of Brentford at her son's country estate. Who would have though she would become entangled in intrigues of the ton? Adrian Richmond, Marquis of Brentford, mistakes Drusilla's mission as being one to provide herself with a generous bequest-and he'll have none of it. Regency Romance by Emily Hendrickson; originally published by Signet",,303,500,29262
/books/OL7573337M,/works/OL1000252W,4636122,ol-cover-4636122.jpg,Elizabeth's Rake,,EN,9780451175526,1993,Signet,,,,128,217,2866
/books/OL7573316M,/works/OL1000253W,8263373,ol-cover-8263373.jpg,The Fashionable Spy,,EN,9780451174864,1992,Signet,,,,286,475,52241
/books/OL7572896M,/works/OL1000254W,1346230,ol-cover-1346230.jpg,The Gallant Lord Ives,,EN,9780451164209,1989,Signet,,"Alissa ffolkes, daughter of a baron, had two incomparable sisters-the beautiful Henrietta and the charming Elizabeth. Alissa herself is so shy that she didn't take in her first London season. But falling in love with the Earl of Ives must prompt a change in her, if she wants the handsome lord to notice her! Regency Romance by Emily Hendrickson; originally published by Signet",,332,500,30756
/books/OL7573941M,/works/OL1000256W,12885263,ol-cover-12885263.jpg,Harriet's Beau,,EN,9780451191762,1997,Signet,,,,274,500,22275
