source_key,language,original_title,original_authors,work_candidates,works_with_editions,edition_records_examined,matching_editions,cover_candidates
/books/OL12827882M,DE,Kunst- Und Kulturraub Im Zweiten Weltkrieg,Natalia Volkert,2,2,2,0,0
/books/OL12827913M,DE,Das Kunstmuseum ALS Paedagogische Herausforderung,Irit Wyrobnik,1,1,1,0,0
/books/OL12827917M,DE,Picasso Und Spanien,Silke Immenga,1,1,1,0,0
/books/OL12828061M,DE,Die Geburt Der Hermeneutik Aus Dem Geist Der Politik,Marion George,1,1,1,0,0
/books/OL12828200M,DE,Geschichtstexte Verstehen in Einer Anderen Sprache,Johannes Doll,1,1,1,0,0
/books/OL12828257M,DE,Entwicklung Des Physik- Bzw. Technik-begriffs In Der Griechischen Naturphilosophie,Konstantinos Andreou,1,1,1,0,0
/books/OL12828286M,DE,Wissenschaft Durch Wechselwirkung,Peter Ploger,1,1,1,0,0
/books/OL12828404M,DE,Das Spiel Der Interessen,Uwe Saint-Mont,1,1,1,0,0
/books/OL12828517M,DE,"Portugiesisch, Papiamentu",Gabriele Blaikner-Hohenwart,1,1,2,0,0
/books/OL12828543M,DE,Der Krieg Im Bild - Bilder Vom Krieg,Arbeitskreis Historische Bildforschung,1,1,1,0,0
/books/OL12828587M,DE,Romanische Kunst Als Politische Propaganda Im Erzbistum Lund Wahrend Der Waldemarzeit,Werner Steinwarder,1,1,1,0,0
/books/OL12828606M,DE,Zwischen Den Stuhlen,Eva Studinger,1,1,1,0,0
/books/OL12828668M,DE,Erzahlte Aufklarung,Mirja Lecke,2,2,2,0,0
/books/OL12828675M,DE,Wegekostenfinanzierung Und Lenkung Im Deregulierten Europaischen Verkehrsmarkt (Cege-Schriften),Axel Hennighausen,1,1,1,0,0
/books/OL12828749M,DE,Zu Text Und Bild Bei Leonardo Da Vinci: Eine Mediengeschichtliche Kritik Des Einsatzes Verbaler Und Visueller Darstellungsmittel in Der Italienischen (Europaische Hochschulschriften: Reihe),Jorg Bittner,1,1,1,0,0
/books/OL12828764M,DE,Eindimensionale Skalogramm-Analyse (Europaische Hochschulschriften),Thomas Staufenbiel,1,1,1,0,0
/books/OL12829001M,DE,Die Verwaltete Kunst,Markus Thiel,1,1,1,0,0
/books/OL12829056M,DE,Der Prufungsumfang Des Bundesverfassungsgerichts Bei Verfassungsbeschwerden Am Beispiel Der Kunstfreiheitsrechtsprechung,Stephanie Vogel,1,1,1,0,0
/books/OL12829103M,DE,Die Polnische Telekommunikation Vor Dem Eu-beitritt,Malgorzata Stankiewicz,1,1,3,0,0
/books/OL12829259M,DE,Hermann Hesses Kunstauffassung Auf Der Grundlage Seiner Rezeptionshaltung,Heiko Groger,1,1,1,0,0
/books/OL12829311M,DE,Kulturguterschutz Im Internationalen Recht Unter Besonderer Berucksichtigung Der Deutsch-russischen Beziehungen,Eva Stumpf,1,1,1,0,0
/books/OL12829333M,DE,Tempusfunktionen In Texten,Hyun-Sun Park,1,1,1,0,0
/books/OL12829466M,DE,Die Soziogenese Des Altagyptischen Staates in Komparativer Perspektive,Ingrid El Masry,1,1,1,0,0
/books/OL12829575M,DE,Argumentation In Der Erst- Und Fremdsprache,Dalia Ohlinger,1,1,1,0,0
/books/OL12829608M,DE,Sekundare Bedeutungen Von Nationalitats- Und Landerbezeichnungen Im Deutschen Und Polnischen,Barbara Komenda,1,1,1,0,0
/books/OL12829636M,DE,Integrative Darstellung Englischer Serviceinteraktionen,Birte Bos,1,1,1,0,0
/books/OL12829695M,DE,"Asem (asia-europe Meeting): Bestandsaufnahme, Moglichkeiten Und Grenzen Einer Interregionalen Kooperation (Europaische Hochschulschriften: Reihe 31, Politikwissenschaf)",Andreas Pareira,1,1,1,0,0
/books/OL12829715M,DE,"Eine Grammatik Für Lernende Unter Funktional-kommunikativem Blickwinkel: Bindeglied Zwischen Linguistik, Psychologie Und Fremdsprachendidaktik",Yvette Verbeeck,1,1,1,0,0
/books/OL12829731M,DE,Regionalisierung Und Politische Bewubtseinsbildung,Wolfram Bracher,1,1,1,0,0
/books/OL12829741M,DE,Tradition Im Ubergang,Andreas Beilmann,1,1,1,0,0
/books/OL12829763M,DE,"We, On Death Row - Der Tod Steht Ihnen Gut",Sandra Muller,1,1,1,0,0
/books/OL12829776M,DE,Barlach Und Die Avantgarde,Andrea Fromm,1,1,1,0,0
/books/OL12829822M,DE,Die Geburt Des Modernen Propagandakrieges Im Ersten Weltkrieg,Jens P. Ackermann,1,1,1,0,0
/books/OL12829938M,DE,Kunst Und Kirche Am Ende Der Klassischen Moderne,Sven Ochsenreither,1,1,1,0,0
/books/OL12830064M,DE,Die Ausfuhrungsvarianten Des Qigong,Friederike Baeumer,1,1,1,0,0
/books/OL12830136M,DE,"Nichts ALS Die Spuren Meiner Hand - Der Chinesische Maler Gao Fenghan (1683-1749: Unter Besonderer Berucksichtigung Seiner Alben (Europaische Hochschulschriften: Reihe 28, Kunstgeschichte)",Nora Von Achenbach,1,1,1,0,0
/books/OL12830251M,DE,Geistes- und sozialwissenschaftliche Hochschullehre in Osteuropa I,Andreas Umland,1,1,1,0,0
/books/OL12830360M,DE,Die Italienischen Streitkrafte Und Ihr Internationales Engagement,Enrico Brissa,1,1,1,0,0
/books/OL12830412M,DE,Film Und Musik Im Spanischsprachigen Roman Der Gegenwart,Ben Scheffler,1,1,1,0,0
/books/OL12830505M,DE,Die Industrie ALS Kunstmazen Und Auftraggeber in Der Deutschen Demokratischen Republik,Lutz Fichtner,1,1,1,0,0
/books/OL12830559M,DE,Anglizismen in Der Deutschen Fachsprache Der Computertechnik,Youngick Chang,1,1,1,0,0
/books/OL12830595M,DE,Ivan Milev Und Die Zeitschrift Vezni,Rada Bieberstein,1,1,1,0,0
/books/OL12830638M,DE,Systemwettbewerb Und Umverteilung,Ingmar Kumpmann,1,1,3,0,0
/books/OL12830869M,DE,Kulturpolitik Im Geteilten Deutschland,Ulrike Ziegler,1,1,1,0,0
/books/OL12830875M,DE,de Arte Boneste Amandi,Katharina A. Glanz,1,1,1,0,0
/books/OL12830924M,DE,"Spurensuche: Der Mediziner, Romancier, Kulturkritiker Und Journalist Max Nordau in Seiner Rolle ALS Kunstkritiker Der Neuen Freien (Europaische Hochschulschriften: Reihe 28, Kunstgeschichte)",Karola Agnes Franziska Dahmen,1,1,1,0,0
/books/OL12830982M,DE,Die Entdecking Der Unscharfe in Optik Und Malerei,Marc Wellmann,1,1,1,0,0
/books/OL12831053M,DE,"Identifizierung, Visualisierung Und Analyse Der Volatilitatsoberflachen Von Dax-Optionen Mit Neuronalen Netzen",Jan Koserski,1,1,1,0,0
/books/OL12831076M,DE,Eine Fruhe Aktionskunst,Ann-Katrin Gunzel,2,2,2,0,0
/books/OL12831328M,DE,Mediale Bedingungen Des Erzahlens Im Digitalen Raum,Nicole Mahne,1,1,1,0,0
/books/OL12832204M,DE,"Alles, was recht(s) ist. Ideen, Köpfe und Perspektiven der politischen Rechten.",Karlheinz Weißmann,1,1,1,0,0
/books/OL12832666M,DE,Kunstschauplatz Salzburg.,Anton Gugg,1,1,1,0,0
/books/OL12832772M,DE,Wege zur ganzheitlichen Landwirtschaft (AV Ratgeber),Wolfgang Becvar,1,1,1,0,0
/books/OL12858748M,DE,Auf Peamount,Stefan D. Kaufer,1,1,1,0,0
/books/OL12858755M,DE,Von Pilzen und anderen Menschen. Erzählung.,Cecily Von Hundt,1,1,1,0,0
/books/OL12859777M,DE,Hundegeschichten.,Dora. Meier-Jaeger,2,2,3,1,1
/books/OL12860591M,DE,Kulturschätze im Thurgau entdecken und erleben.,Cornelia Stäheli,1,1,1,0,0
/books/OL12861282M,DE,"Die drei Tage. Die Passion, nach Hans Memlings 'Passionspanorama'.",Günther Lange,1,1,1,0,0
/books/OL12861543M,DE,Chancenungleichheiten im Wissenschaftssystem. Wie Geschlecht und soziale Herkunft Karrieren beeinflussen.,Regula Julia Leemann,1,1,1,1,1
/books/OL12862201M,DE,Borromini.,Andreas Bellasi,1,1,1,0,0
/books/OL12862941M,DE,Der Abtrünnige.,Michael Mortag,1,1,1,1,1
/books/OL12865407M,DE,Neue Geschichten vom Lago Maggiore.,Ernst Wilhelm Wies,1,1,1,1,1
/books/OL12868349M,DE,Ist die Existenz Gottes beweisbar?,Volker Kessler,1,1,1,0,0
/books/OL12869542M,DE,Restauratoren Taschenbuch 2000.,Ulrike Besch,1,1,1,0,0
/books/OL12869762M,DE,"Luther, Cranach und die Bilder",Christoph Weimer,1,1,1,0,0
/books/OL12869974M,DE,Wols.,Claus Mewes,1,1,1,0,0
/books/OL12870012M,DE,Das Kreuz aus Salz. Ein Roman aus der Zeit der Inquisition.,Sylvia Marquardt,1,1,1,0,0
/books/OL12871834M,DE,Maler Modell.,Georg-W. Költzsch,1,1,1,0,0
/books/OL12872751M,DE,Der letzte Gott als Anfang,Paola-Ludovica Coriando,1,1,1,0,0
/books/OL12872775M,DE,Die Einheit der Wirklichkeit. Zum Wissenschaftsverständnis der Gegenwart.,Bernd-Olaf Küppers,1,1,1,0,0
/books/OL12872782M,DE,Dies. Hier. Jetzt. Wirklichkeitserfahrungen mit zeitgenössischer Kunst.,Angeli Janhsen,1,1,1,0,0
/books/OL12872798M,DE,Kandinskys Abstraktion,Matthias Haldemann,1,1,1,0,0
/books/OL12872866M,DE,Transparente Zeit. Zur Temporalität kubistischer Bilder.,Nicolaj VanDerMeulen,1,1,1,0,0
/books/OL12872874M,DE,Liebe als Roman. Zur Koevolution intimer und literarischer Kommunikation.,Nils Werber,1,1,1,0,0
/books/OL12872894M,DE,Körper- Szenarien. Zum Verhältnis von Körper und Bild in Videoinstallationen.,Sabine Flach,1,1,1,0,0
/books/OL12873139M,DE,Kunst - Jenseits von Gut und Böse? Kritischer Versuch über das Verhältnis von Ästhetik und Ethik.,Dagmar Fenner,1,1,1,0,0
/books/OL12880046M,DE,Einen anderen Gott denken?,Tobias Specker,3,3,4,0,0
/books/OL12881219M,DE,Politik. Eine Einführung für soziale Berufe.,Martin Bellermann,1,1,1,0,0
/books/OL12911251M,DE,Des Kaisers neue Kleider. Der Schwindel der Moderne.,Reinhard Müller-Mehlis,1,1,1,1,1
/books/OL12912910M,DE,"Hans Karl Burgeff, Medaillen, Plaketten, Münzen",Elisabeth Wynhoff,1,1,1,0,0
/books/OL12912947M,DE,Giorgiones Ländliches Konzert,Gabriele Frings,1,1,2,1,1
/books/OL12912956M,DE,Kunst und Politik der Farbe. Gainsboroughs Porträtmalerei.,Bettina Gockel,1,1,1,0,0
/books/OL12912990M,DE,"Erkenntnis, Erfindung, Konstruktion",Hans Holländer,1,1,1,0,0
/books/OL12913001M,DE,Ars Et Scriptura,Rudolf Preimesberger,1,1,1,0,0
/books/OL12914873M,DE,Die Struktur der Gerechtigkeit.,Nils Jansen,1,1,1,0,0
